G	subG	S	Protein_ID_1	Protein_ID_2	Protein_ID_3	Protein_ID_4	Protein_ID_5	Protein_ID_6
CT	CT	Sample_ID_1						
CT	CT	Sample_ID_2						
CT	CT	Sample_ID_3						
CT	CT	Sample_ID_4						
CT	CT	Sample_ID_5						
CT	CT	Sample_ID_6						
CT	CT	Sample_ID_7						
CT	CT	Sample_ID_8						
CT	CT	Sample_ID_9						
CT	CT	Sample_ID_10						
CT	CT	Sample_ID_11						
CT	CT	Sample_ID_12						
CT	CT	Sample_ID_13						
CT	CT	Sample_ID_14						
CT	CT	Sample_ID_15						
D	D1	Sample_ID_16						
D	D1	Sample_ID_17						
D	D1	Sample_ID_18						
D	D1	Sample_ID_19						
D	D1	Sample_ID_20						
D	D1	Sample_ID_21						
D	D1	Sample_ID_22						
D	D1	Sample_ID_23						
D	D1	Sample_ID_24						
D	D1	Sample_ID_25						
D	D1	Sample_ID_26						
D	D1	Sample_ID_27						
D	D1	Sample_ID_28						
D	D1	Sample_ID_29						
D	D1	Sample_ID_30						
D	D1	Sample_ID_31						
D	D1	Sample_ID_32						
D	D1	Sample_ID_33						
D	D1	Sample_ID_34						
D	D1	Sample_ID_35						
D	D1	Sample_ID_36						
D	D1	Sample_ID_37						
D	D2	Sample_ID_38						
D	D2	Sample_ID_39						
D	D2	Sample_ID_40						
D	D2	Sample_ID_41						
D	D2	Sample_ID_42						
D	D2	Sample_ID_43						
D	D2	Sample_ID_44						
D	D2	Sample_ID_45						
D	D2	Sample_ID_46						
D	D2	Sample_ID_47						
D	D2	Sample_ID_48						
D	D2	Sample_ID_49						
D	D2	Sample_ID_50						
D	D2	Sample_ID_51						
D	D2	Sample_ID_52						
D	D2	Sample_ID_53						
D	D2	Sample_ID_54						
D	D2	Sample_ID_55						
D	D2	Sample_ID_56						
D	D2	Sample_ID_57						
D	D3	Sample_ID_58						
D	D3	Sample_ID_59						
D	D3	Sample_ID_60						
D	D3	Sample_ID_61						
D	D3	Sample_ID_62						
D	D3	Sample_ID_63						
D	D3	Sample_ID_64						
D	D3	Sample_ID_65						
D	D3	Sample_ID_66						
D	D3	Sample_ID_67						
D	D3	Sample_ID_68						
D	D3	Sample_ID_69						
D	D3	Sample_ID_70						
D	D3	Sample_ID_71						
